sequence_length,operations_number,worst_case
2,86,556
2,86,556
3,85,1251
3,73,1251
3,78,1251
3,88,1251
3,85,1251
4,91,2224
4,89,2224
4,92,2224
4,98,2224
4,89,2224
4,87,2224
4,89,2224
5,106,3475
5,104,3475
5,73,3475
5,94,3475
5,114,3475
5,116,3475
5,107,3475
5,112,3475
5,99,3475
5,111,3475
6,88,5004
6,112,5004
6,26,5004
6,95,5004
6,119,5004
6,87,5004
6,29,5004
6,110,5004
6,87,5004
6,44,5004
6,104,5004
6,95,5004
6,92,5004
6,118,5004
6,102,5004
6,26,5004
6,107,5004
6,106,5004
6,28,5004
6,98,5004
6,100,5004
6,107,5004
7,127,6811
7,120,6811
7,109,6811
7,105,6811
7,112,6811
7,127,6811
7,124,6811
7,103,6811
7,119,6811
7,133,6811
7,114,6811
7,52,6811
7,40,6811
7,135,6811
7,110,6811
7,130,6811
7,147,6811
7,137,6811
7,125,6811
7,50,6811
7,50,6811
7,133,6811
7,56,6811
7,135,6811
7,107,6811
7,118,6811
7,60,6811
7,138,6811
7,134,6811
7,139,6811
7,102,6811
7,126,6811
7,117,6811
7,136,6811
7,123,6811
7,137,6811
7,54,6811
7,114,6811
7,110,6811
7,90,6811
7,131,6811
7,139,6811
7,142,6811
7,116,6811
7,107,6811
7,113,6811
7,117,6811
8,171,8896
8,184,8896
8,60,8896
8,103,8896
8,164,8896
8,163,8896
8,105,8896
8,168,8896
8,167,8896
8,159,8896
8,145,8896
8,150,8896
8,153,8896
8,175,8896
8,181,8896
8,182,8896
8,170,8896
8,158,8896
8,168,8896
8,134,8896
8,40,8896
8,118,8896
8,137,8896
8,181,8896
8,149,8896
8,164,8896
8,158,8896
8,140,8896
8,179,8896
8,146,8896
8,180,8896
8,90,8896
8,138,8896
8,170,8896
8,170,8896
8,172,8896
8,154,8896
8,163,8896
8,144,8896
8,102,8896
8,165,8896
8,177,8896
9,200,11259
9,224,11259
9,189,11259
9,114,11259
9,181,11259
9,90,11259
9,137,11259
9,93,11259
9,217,11259
9,138,11259
9,210,11259
9,240,11259
9,225,11259
9,225,11259
9,214,11259
9,176,11259
9,234,11259
9,196,11259
9,182,11259
9,236,11259
9,127,11259
9,208,11259
9,236,11259
9,120,11259
9,107,11259
9,111,11259
9,216,11259
9,226,11259
9,138,11259
9,192,11259
9,179,11259
9,102,11259
9,226,11259
9,120,11259
9,40,11259
9,229,11259
9,214,11259
9,226,11259
9,131,11259
9,212,11259
9,185,11259
9,102,11259
9,211,11259
9,104,11259
9,102,11259
9,103,11259
10,103,13900
10,236,13900
10,177,13900
10,199,13900
10,273,13900
10,217,13900
10,183,13900
10,289,13900
10,279,13900
10,179,13900
10,255,13900
10,287,13900
10,289,13900
10,192,13900
10,233,13900
10,170,13900
10,186,13900
10,271,13900
10,289,13900
10,224,13900
10,278,13900
10,266,13900
10,194,13900
10,90,13900
10,150,13900
10,235,13900
10,280,13900
11,192,16819
11,105,16819
11,102,16819
11,90,16819
11,270,16819
11,277,16819
11,288,16819
12,174,20016
12,90,20016
12,102,20016
12,286,20016
14,90,27244
14,233,27244
14,224,27244
15,105,31275
15,40,31275
15,286,31275
15,118,31275
16,105,35584
16,130,35584
17,181,40171
17,105,40171
20,105,55600
